rank,code,name,market,mktcap,sector,close,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,stop,risk_pct,bbw_pct,adx,setup,ma20,ma60,bb_upper,memory_price,vol_ratio,tags,dryup_count,rebreakout,foreign_consec_buy,foreign_net_5d,inst_net_5d,trigger_score,liq_score,keywords,news_count,scan_date,chunk
1,035510,신세계 I&C,KOSPI,238374345000,기타,17050.0,20.0,30.0,18.0,9,5.0,82.0,15310.0,10.205278592375366,13.559322033898304,29.632747181694832,C,16504.5,16602.2,17802.707335420804,17550.0,2.15,🚪Door 🧘Squeeze 🧠Memory 🔥Past 💧Dry 🚀Pivot+,3,False,1,1814689500.0,429221200.0,30.0,18.0,,0,2026-01-19 08:18,2
2,007690,국도화학,KOSPI,322276953600,기타,34800.0,20.0,30.0,10.0,15,5.0,80.0,31300.0,10.057471264367816,3.389830508474576,21.618101921485728,-,33142.5,32437.0,34975.59302466398,34050.0,1.39,🚪Door 🧘Squeeze 🧠Memory 🔥Past 🚀Pivot,1,False,5,365648200.0,557492800.0,30.0,10.0,,0,2026-01-19 08:18,2
3,475400,씨메스,KOSDAQ,442322823600,기타,37800.0,20.0,20.0,17.0,12,9.0,78.0,34776.0,8.0,15.254237288135593,17.59250703611107,-,34032.5,32779.0,38449.34416002784,35050.0,1.42,🚪Door 🧘Squeeze 🔥Past 💧Dry+ 🚀Pivot,6,False,3,7122263750.0,12866750.0,20.0,17.0,,0,2026-01-19 08:18,2
4,000490,대동,KOSPI,291727873800,기타,10120.0,18.0,30.0,13.0,9,7.0,77.0,9200.0,9.090909090909092,3.389830508474576,18.919530431455797,-,9670.5,9571.2,10145.872995952595,10160.0,2.02,🚪Door 🧘Squeeze 🧠Memory 🔥Past 🚀Pivot+,0,False,2,919028640.0,41006640.0,30.0,13.0,,0,2026-01-19 08:18,2
5,474170,루미르,KOSDAQ,217197714240,기타,12190.0,25.0,20.0,12.0,9,9.0,75.0,11214.800000000001,8.0,100.0,81.06122145309928,-,10742.0,9125.2,12354.03975364997,12000.0,0.26,🚪Door 🧠Memory 🔥Past 💧Dry+,5,False,3,-129685420.0,597528820.0,20.0,12.0,,0,2026-01-19 08:18,2
6,210980,SK디앤디,KOSPI,237185446680,기타,12740.0,20.0,30.0,10.0,4,10.0,74.0,12570.0,1.3343799058084773,16.949152542372882,50.855424639652234,-,12834.0,12727.2,13071.032949733873,12690.0,0.82,🚪Door 🧘Squeeze 🧠Memory 🔥Past 💧Dry,3,False,0,-329313530.0,503460090.0,30.0,10.0,,0,2026-01-19 08:18,2
7,054210,이랜텍,KOSDAQ,257970342000,기타,10200.0,19.0,30.0,8.0,8,9.0,74.0,9384.0,8.0,5.084745762711864,22.100883958243873,R,8739.5,8953.6,9891.36504423562,10200.0,6.61,🚪Door 🧘Squeeze 🧠Memory 🔥Past ⚠️Hot,1,True,3,690658250.0,-5340820.0,30.0,8.0,,0,2026-01-19 08:18,2
8,033530,SJG세종,KOSPI,317437165010,기타,11410.0,23.0,30.0,8.0,4,9.0,74.0,10497.2,8.0,5.084745762711864,27.13315447987381,R,10161.0,9389.0,11139.141327440539,11410.0,4.63,🚪Door 🧘Squeeze 🧠Memory 🔥Past ⚠️Hot,1,True,0,-319638570.0,92419620.0,30.0,8.0,,0,2026-01-19 08:18,2
9,007860,서연,KOSPI,258278284000,기타,11000.0,25.0,10.0,13.0,15,9.0,72.0,10120.0,8.0,88.13559322033899,51.78254641040032,R,9790.5,9649.0,10422.388703752968,10670.0,2.74,🧠Memory 🔥Past 🚀Pivot+,0,True,6,1567507990.0,190624160.0,10.0,13.0,,0,2026-01-19 08:18,2
10,199430,케이엔알시스템,KOSDAQ,355236788900,기타,32300.0,22.0,20.0,13.0,7,9.0,71.0,29716.0,8.0,11.864406779661017,22.00826936109841,B,26932.5,25938.0,32417.45462030109,30750.0,2.09,🚪Door 🧘Squeeze 🔥Past 🚀Pivot+,1,False,0,1112271250.0,66700.0,20.0,13.0,,0,2026-01-19 08:18,2
11,171090,선익시스템,KOSDAQ,489549004800,기타,51200.0,24.0,20.0,13.0,4,9.0,70.0,47104.0,8.0,8.474576271186441,30.262755031099495,B,50897.5,50769.0,58211.78940056281,53800.0,2.87,🧘Squeeze 🧠Memory 🔥Past 🚀Pivot+,0,False,0,-3232174100.0,2226290450.0,20.0,13.0,,0,2026-01-19 08:18,2
12,338840,와이바이오로직스,KOSDAQ,413602707250,기타,27250.0,20.0,30.0,5.0,5,9.0,69.0,25070.0,8.0,0.0,16.168218185455046,-,24575.0,24452.0,28356.64668212607,28150.0,1.16,🚪Door 🧘Squeeze 🧠Memory 🔥Past,2,False,1,4451755500.0,-1435926700.0,30.0,5.0,,0,2026-01-19 08:18,2
13,282880,코윈테크,KOSDAQ,207939678100,기타,18130.0,22.0,20.0,12.0,5,9.0,68.0,16679.600000000002,8.0,35.59322033898305,22.6967401416229,R,16112.75,15663.04,17943.581238479142,17820.0,0.94,🚪Door 🧠Memory 🔥Past 💧Dry+,7,True,1,495572530.0,-2995740.0,20.0,12.0,,0,2026-01-19 08:18,2
14,451760,컨텍,KOSDAQ,217496314960,기타,14260.0,25.0,20.0,10.0,7,5.0,67.0,12540.0,12.0617110799439,100.0,75.53969341614665,R,12527.0,9903.4,14232.857152799319,13600.0,0.33,🚪Door 🧠Memory 🔥Past 💧Dry,4,True,0,857336260.0,2459411300.0,20.0,10.0,,0,2026-01-19 08:18,2
15,080160,모두투어,KOSDAQ,201096000000,기타,10640.0,10.0,30.0,10.0,8,9.0,67.0,9820.0,7.7067669172932325,0.0,17.127249107418738,-,10223.5,10366.8,11172.494725718014,10600.0,1.5,🚪Door 🧘Squeeze 🧠Memory 🔥Past 🚀Pivot,0,False,3,430002340.0,-307852090.0,30.0,10.0,,0,2026-01-19 08:18,2
16,014830,유니드,KOSPI,474408760000,기타,70100.0,15.0,30.0,5.0,7,9.0,66.0,64600.0,7.845934379457916,0.0,23.67442574886158,-,68475.0,67252.0,72513.53921806441,72100.0,1.24,🚪Door 🧘Squeeze 🧠Memory 🚀Pivot,0,False,0,629144500.0,1156556900.0,30.0,5.0,,0,2026-01-19 08:18,2
17,126700,하이비젼시스템,KOSDAQ,244154110080,기타,16340.0,20.0,20.0,5.0,12,9.0,66.0,15110.0,7.527539779681762,27.11864406779661,14.695626421827054,-,15928.5,15618.0,16613.142056944638,16640.0,1.52,🚪Door 🧠Memory 🚀Pivot,0,False,3,1153807230.0,181862570.0,20.0,5.0,,0,2026-01-19 08:19,2
18,043370,피에이치에이,KOSDAQ,270270000000,기타,12870.0,25.0,20.0,8.0,8,5.0,66.0,10990.0,14.607614607614607,84.7457627118644,56.32391817682436,R,11681.5,11540.4,12409.59234761839,12870.0,16.79,🚪Door 🧠Memory 🔥Past ⚠️Hot,1,True,3,421334910.0,-1284136890.0,20.0,8.0,,0,2026-01-19 08:18,2
19,102120,어보브반도체,KOSDAQ,210346307990,기타,11830.0,25.0,20.0,10.0,0,10.0,65.0,11490.0,2.8740490278951816,0.0,51.830457700517805,-,11706.0,11374.2,13192.95745212417,12090.0,0.48,🧘Squeeze 🧠Memory 🔥Past 💧Dry,3,False,0,-421995290.0,-1668360.0,20.0,10.0,,0,2026-01-19 08:18,2
20,060720,KH바텍,KOSDAQ,340955164800,기타,14400.0,23.0,20.0,13.0,0,9.0,65.0,13248.0,8.0,100.0,27.341787048894027,R,12129.0,11878.0,13967.910193349155,14930.0,2.25,🚪Door 🧠Memory 🔥Past 🚀Pivot+,0,True,0,-6149904840.0,-785830500.0,20.0,13.0,,0,2026-01-19 08:18,2
21,037460,삼지전자,KOSDAQ,274640725260,기타,16830.0,25.0,20.0,5.0,6,9.0,65.0,15720.0,6.59536541889483,100.0,61.044858135016334,-,15570.0,14141.2,16838.384350006083,16500.0,0.8,🚪Door 🧠Memory 🔥Past,0,False,1,-278266360.0,14031480.0,20.0,5.0,,0,2026-01-19 08:18,2
22,058430,포스코스틸리온,KOSPI,248100000000,기타,41350.0,21.0,20.0,13.0,6,5.0,65.0,35850.0,13.301088270858525,84.7457627118644,29.40633614216299,R,38882.5,38481.0,40811.97286674578,40450.0,2.22,🚪Door 🧠Memory 🔥Past 🚀Pivot+,0,True,1,-203226200.0,216454450.0,20.0,13.0,,0,2026-01-19 08:18,2
23,244920,에이플러스에셋,KOSPI,248232469140,기타,10980.0,23.0,10.0,10.0,12,9.0,64.0,10101.6,8.0,100.0,25.530159501254825,-,9609.5,8582.2,11117.270039585632,8160.0,0.8,🚪Door 🔥Past 💧Dry,3,False,4,4728402890.0,1314630150.0,10.0,10.0,,0,2026-01-19 08:19,2
24,230360,에코마케팅,KOSDAQ,493500227360,기타,15920.0,25.0,20.0,5.0,4,10.0,64.0,15890.0,0.18844221105527637,100.0,65.20881163332213,R,13912.5,12176.4,15838.899306831181,15900.0,0.75,🚪Door 🧠Memory 🔥Past,0,True,0,-6392188170.0,13175466020.0,20.0,5.0,,0,2026-01-19 08:18,2
25,253590,네오셈,KOSDAQ,489141178600,기타,11150.0,25.0,20.0,5.0,4,9.0,63.0,10590.0,5.0224215246636765,0.0,48.229206147258374,-,10764.5,10576.8,12710.548483315764,10960.0,0.46,🧘Squeeze 🧠Memory 🔥Past,2,False,0,-1830966360.0,863115550.0,20.0,5.0,,0,2026-01-19 08:18,2
26,170920,엘티씨,KOSDAQ,235051803500,기타,22250.0,25.0,20.0,5.0,4,9.0,63.0,20750.0,6.741573033707865,45.76271186440678,62.309233815248454,-,20656.0,18628.8,23317.996806968145,22400.0,0.56,🚪Door 🧠Memory 🔥Past,0,False,0,-5291435350.0,1442022600.0,20.0,5.0,,0,2026-01-19 08:18,2
27,110990,디아이티,KOSDAQ,338310000000,기타,17900.0,25.0,20.0,5.0,4,9.0,63.0,16870.0,5.754189944134079,50.847457627118644,48.56855178050157,-,16384.5,15263.8,18039.63737015173,18390.0,0.77,🚪Door 🧠Memory 🔥Past,0,False,0,-595571870.0,998124050.0,20.0,5.0,,0,2026-01-19 08:18,2
28,042370,비츠로테크,KOSDAQ,281126268250,기타,10730.0,24.0,20.0,10.0,0,9.0,63.0,9871.6,8.0,100.0,37.618312892897116,R,9536.0,8904.6,10342.590857969659,10620.0,1.69,🚪Door 🧠Memory 🔥Past 🚀Pivot,1,True,0,-3352916020.0,-210482560.0,20.0,10.0,,0,2026-01-19 08:18,2
29,078350,한양디지텍,KOSDAQ,357480757900,기타,23450.0,25.0,10.0,10.0,9,9.0,63.0,21574.0,8.0,8.474576271186441,49.623194725146405,B,22254.0,21808.6,25290.7520116763,25750.0,1.84,🧘Squeeze 🔥Past 🚀Pivot,0,False,1,567297700.0,1168184300.0,10.0,10.0,,0,2026-01-19 08:19,2
30,286940,롯데이노베이트,KOSPI,338897820800,기타,22400.0,23.0,20.0,8.0,7,5.0,63.0,19900.0,11.160714285714286,61.016949152542374,44.55629704370089,R,20076.0,19856.8,21474.742783245583,21400.0,3.22,🚪Door 🧠Memory 🔥Past ⚠️Hot,0,True,0,570972240.0,287467270.0,20.0,8.0,,0,2026-01-19 08:19,2
31,094820,일진파워,KOSDAQ,204316506950,기타,13550.0,24.0,20.0,5.0,8,5.0,62.0,11920.0,12.029520295202952,100.0,31.430042009157507,-,13004.0,11723.0,13937.867606929325,13360.0,0.94,🚪Door 🧠Memory 🔥Past,1,False,3,3759817580.0,-3864490.0,20.0,5.0,,0,2026-01-19 08:19,2
32,232680,라온테크,KOSDAQ,204308014200,기타,16300.0,25.0,10.0,10.0,7,9.0,61.0,14996.0,8.0,100.0,77.0847941370154,R,13355.5,10222.0,15607.863052679477,14550.0,1.71,🚪Door 🔥Past 🚀Pivot,2,True,0,2075690400.0,85801270.0,10.0,10.0,,0,2026-01-19 08:19,2
33,053610,프로텍,KOSDAQ,401500000000,기타,36500.0,23.0,20.0,5.0,4,9.0,61.0,34250.0,6.164383561643835,40.67796610169491,28.56095431431885,-,34932.5,34277.0,37381.12143480529,35800.0,1.16,🚪Door 🧠Memory 🔥Past,1,False,0,-711053250.0,457322400.0,20.0,5.0,,0,2026-01-19 08:18,2
34,032940,원익,KOSDAQ,265621158000,기타,14600.0,25.0,10.0,12.0,5,9.0,61.0,13432.0,8.0,100.0,69.75600854410895,R,11227.5,8916.2,13830.43442666336,14350.0,0.37,🧠Memory 🔥Past 💧Dry+,5,True,2,2125246810.0,-17173690.0,10.0,12.0,,0,2026-01-19 08:19,2
35,011500,한농화성,KOSPI,281310385580,기타,17990.0,19.0,20.0,8.0,3,9.0,59.0,16550.8,8.0,16.949152542372882,20.276607165698717,R,15332.5,15473.6,17073.25506869007,17260.0,12.74,🧘Squeeze 🧠Memory 🔥Past ⚠️Hot,1,True,0,63597130.0,-1098660.0,20.0,8.0,,0,2026-01-19 08:19,2
36,274090,켄코아에어로스페이스,KOSDAQ,276882071600,기타,20950.0,25.0,10.0,12.0,5,7.0,59.0,19150.0,8.591885441527445,100.0,76.53564016562073,-,18691.0,13698.2,21718.527693509335,18860.0,0.23,🚪Door 🔥Past 💧Dry+,9,False,2,2510596150.0,-2069558580.0,10.0,12.0,,0,2026-01-19 08:19,2
37,005430,한국공항,KOSPI,209929336500,기타,66300.0,20.0,20.0,10.0,0,9.0,59.0,61100.0,7.8431372549019605,18.64406779661017,14.66942994062194,-,64485.0,61718.0,66925.7319326216,59300.0,0.39,🚪Door 🧘Squeeze 🔥Past 💧Dry,3,False,0,-627961600.0,-269973000.0,20.0,10.0,,0,2026-01-19 08:18,2
38,034950,한국기업평가,KOSDAQ,441792012200,기타,97300.0,12.0,30.0,5.0,2,10.0,59.0,96000.0,1.3360739979445015,11.864406779661017,49.551922652591365,-,98435.0,98918.0,100869.85945690754,99900.0,0.53,🚪Door 🧘Squeeze 🧠Memory 🔥Past,0,False,1,-228726200.0,-359167400.0,30.0,5.0,,0,2026-01-19 08:18,2
39,054450,텔레칩스,KOSDAQ,243064939650,기타,16050.0,25.0,10.0,17.0,0,7.0,59.0,14500.0,9.657320872274143,100.0,53.31630570649509,-,14910.0,13434.0,16306.590422406334,13900.0,1.6,🚪Door 🔥Past 💧Dry+ 🚀Pivot,6,False,0,-2222278980.0,-766452070.0,10.0,17.0,,0,2026-01-19 08:18,2
40,211270,AP위성,KOSDAQ,227591967360,기타,15090.0,23.0,20.0,5.0,4,7.0,59.0,13650.0,9.542743538767395,100.0,65.77057308686082,R,13693.0,12275.4,14985.04787344433,15430.0,0.52,🚪Door 🧠Memory 🔥Past,2,True,0,-197548160.0,1394724970.0,20.0,5.0,,0,2026-01-19 08:19,2
41,290740,액트로,KOSDAQ,211868481550,기타,21050.0,25.0,10.0,10.0,4,9.0,58.0,19366.0,8.0,100.0,51.604717882219504,B,17522.5,10988.6,21557.726850558465,11650.0,1.54,🚪Door 🔥Past 🚀Pivot,0,False,0,-1636519150.0,3000486360.0,10.0,10.0,,0,2026-01-19 08:19,2
42,200710,에이디테크놀로지,KOSDAQ,457659989100,기타,34050.0,24.0,20.0,5.0,4,5.0,58.0,30250.0,11.16005873715125,100.0,35.04117976199466,-,31407.5,28042.0,35251.634685207086,35300.0,0.68,🚪Door 🧠Memory 🔥Past,2,False,0,-15124879100.0,253705450.0,20.0,5.0,,0,2026-01-19 08:19,2
43,003920,남양유업,KOSPI,306600000000,기타,51100.0,10.0,20.0,10.0,8,10.0,58.0,49050.0,4.011741682974559,0.0,18.88803172787117,-,50485.0,50697.0,53900.32978414219,51000.0,1.6,🧘Squeeze 🧠Memory 🔥Past 🚀Pivot,0,False,4,1239550.0,-171433600.0,20.0,10.0,,0,2026-01-19 08:19,2
44,037710,광주신세계,KOSPI,247468609000,기타,31100.0,15.0,20.0,5.0,8,10.0,58.0,30400.0,2.2508038585209005,71.1864406779661,57.74761506026292,-,31405.0,31221.0,32360.62511488377,31800.0,0.74,🚪Door 🧠Memory 💧Dry,3,False,3,298704200.0,-119570250.0,20.0,5.0,,0,2026-01-19 08:19,2
45,270660,에브리봇,KOSDAQ,315086741400,기타,24900.0,25.0,0.0,15.0,8,9.0,57.0,22908.0,8.0,40.67796610169491,42.34635471613519,R,21526.0,20150.2,23402.666177394793,23150.0,1.66,🔥Past 💧Dry 🚀Pivot,3,True,3,5446559900.0,-4459381850.0,0.0,15.0,,0,2026-01-19 08:19,2
46,322310,오로스테크놀로지,KOSDAQ,236036858400,기타,25200.0,25.0,20.0,5.0,0,7.0,57.0,23000.0,8.73015873015873,0.0,41.701150291148,-,24677.5,24040.0,27758.936472246,25750.0,0.97,🧘Squeeze 🧠Memory 🔥Past,0,False,0,-275658850.0,-1200425150.0,20.0,5.0,,0,2026-01-19 08:18,2
47,126720,수산인더스트리,KOSPI,376436100000,기타,26350.0,21.0,10.0,8.0,9,9.0,57.0,24242.0,8.0,100.0,26.677359405644633,R,22037.5,21490.0,23568.680922792773,26350.0,4.24,🧠Memory 🔥Past ⚠️Hot,0,True,1,1326202500.0,1475569000.0,10.0,8.0,,0,2026-01-19 08:19,2
48,079960,동양이엔피,KOSDAQ,230298000000,기타,29300.0,23.0,10.0,10.0,7,7.0,57.0,26900.0,8.19112627986348,100.0,25.241089579755048,R,26020.0,24750.0,28048.210750250953,25100.0,1.55,🚪Door 🔥Past 🚀Pivot,0,True,0,305371250.0,107127100.0,10.0,10.0,,0,2026-01-19 08:19,2
