rank,code,name,market,mktcap,sector,close,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,stop,risk_pct,bbw_pct,adx,setup,ma20,ma60,bb_upper,memory_price,vol_ratio,tags,dryup_count,rebreakout,foreign_consec_buy,foreign_net_5d,inst_net_5d,trigger_score,liq_score,keywords,news_count,scan_date,chunk
49,241770,메카로,KOSDAQ,236978880000,기타,23250.0,16.0,20.0,5.0,6,9.0,56.0,21950.0,5.591397849462366,3.389830508474576,31.140998340251677,-,23100.0,23261.0,27675.609912327862,24200.0,0.5,🧘Squeeze 🧠Memory 🔥Past,0,False,2,-60200100.0,987000.0,20.0,5.0,,0,2026-01-19 08:19,2
50,045100,한양이엔지,KOSDAQ,423000000000,기타,23500.0,25.0,10.0,5.0,6,10.0,56.0,22700.0,3.404255319148936,100.0,43.688472787388015,-,22835.0,21630.0,24226.52098209201,26350.0,0.55,🚪Door 🔥Past,0,False,1,-870518250.0,173029250.0,10.0,5.0,,0,2026-01-19 08:19,2
51,308430,셀비온,KOSDAQ,286784248500,기타,22350.0,17.0,10.0,12.0,8,9.0,56.0,21000.0,6.0402684563758395,15.254237288135593,21.140136997228414,-,22795.0,22010.4,27178.66032397042,17970.0,0.81,🧘Squeeze 🔥Past 💧Dry+,5,False,3,1161012650.0,-656669500.0,10.0,12.0,,0,2026-01-19 08:19,2
52,012200,계양전기,KOSPI,303806771640,기타,11160.0,23.0,10.0,10.0,4,9.0,56.0,10267.2,7.999999999999993,91.52542372881356,28.831401529374027,R,8086.5,4102.7,11102.816909128063,7850.0,0.38,🚪Door 🔥Past 💧Dry,3,True,0,-735069240.0,101555100.0,10.0,10.0,,0,2026-01-19 08:19,2
53,002230,피에스텍,KOSDAQ,310886716600,기타,16130.0,25.0,0.0,13.0,9,9.0,56.0,14839.6,8.0,100.0,71.52730253869446,R,9946.5,6721.3,12338.532087296946,13930.0,2.1,🔥Past 🚀Pivot+,0,True,2,738083250.0,62776180.0,0.0,13.0,,0,2026-01-19 08:19,2
54,371950,풍원정밀,KOSDAQ,288720861520,기타,12740.0,23.0,10.0,10.0,4,9.0,56.0,11720.800000000001,8.0,100.0,54.157743353724115,R,10635.5,9970.6,12037.628335996294,12890.0,1.33,🧠Memory 🔥Past 🚀Pivot,0,True,0,-32098640.0,1505964540.0,10.0,10.0,,0,2026-01-19 08:19,2
55,006110,삼아알미늄,KOSPI,353085984000,기타,24000.0,12.0,20.0,12.0,3,9.0,56.0,22500.0,6.25,0.0,15.530678567812371,-,23957.5,24189.0,26964.10211943113,24950.0,0.82,🧘Squeeze 🧠Memory 🔥Past 💧Dry+,5,False,0,156946900.0,-66802700.0,20.0,12.0,,0,2026-01-19 08:19,2
56,254490,미래반도체,KOSDAQ,232163040000,기타,16080.0,23.0,10.0,12.0,0,10.0,55.0,15610.0,2.9228855721393034,44.067796610169495,58.34661776147457,-,15872.0,15584.8,17982.7975314921,16280.0,0.3,🧠Memory 🔥Past 💧Dry+,7,False,0,-106383170.0,-173871650.0,10.0,12.0,,0,2026-01-19 08:19,2
57,004310,현대약품,KOSPI,433600000000,기타,13550.0,25.0,0.0,12.0,9,9.0,55.0,12466.0,8.0,100.0,52.31647830550144,R,8645.5,6140.7,10756.040915050937,6960.0,0.99,🔥Past 💧Dry+,7,True,2,11048136220.0,1419470.0,0.0,12.0,,0,2026-01-19 08:19,2
58,484810,티엑스알로보틱스,KOSDAQ,305310080400,기타,19760.0,22.0,0.0,15.0,9,9.0,55.0,18179.2,8.0,42.3728813559322,39.42146384893281,R,16528.0,15485.6,18585.34762766786,17840.0,1.2,🔥Past 💧Dry 🚀Pivot,4,True,1,160991760.0,183880350.0,0.0,15.0,,0,2026-01-19 08:19,2
59,092460,한라IMS,KOSDAQ,290180172800,기타,16960.0,15.0,10.0,12.0,7,10.0,54.0,16210.0,4.422169811320755,0.0,16.294793240824713,-,17262.0,16710.8,19203.892265781906,19110.0,0.29,🧘Squeeze 🔥Past 💧Dry+,8,False,0,1225360270.0,179814800.0,10.0,12.0,,0,2026-01-19 08:19,2
60,200880,서연이화,KOSPI,451374897900,기타,16700.0,22.0,10.0,8.0,5,9.0,54.0,15364.0,8.0,100.0,23.794781891866705,R,13437.5,12835.2,14551.067305157714,16210.0,4.0,🧠Memory 🔥Past ⚠️Hot,0,True,1,901528550.0,-933608820.0,10.0,8.0,,0,2026-01-19 08:19,2
61,029460,케이씨,KOSPI,371136927150,기타,28050.0,25.0,10.0,5.0,4,10.0,54.0,26900.0,4.09982174688057,40.67796610169491,50.61877659965062,-,27060.0,25995.0,28586.284659382334,24600.0,0.86,🚪Door 🔥Past,0,False,0,-1767384050.0,2707729550.0,10.0,5.0,,0,2026-01-19 08:19,2
62,462350,이노스페이스,KOSDAQ,435103711900,기타,21100.0,25.0,10.0,5.0,5,9.0,54.0,19412.0,8.0,100.0,88.56045106874356,R,16755.0,13283.86,20788.21842093837,10710.0,0.53,🚪Door 🔥Past,1,True,1,7339417350.0,-13100342550.0,10.0,5.0,,0,2026-01-19 08:19,2
63,394280,오픈엣지테크놀로지,KOSDAQ,311701851270,기타,14130.0,23.0,10.0,12.0,0,9.0,54.0,13000.0,7.9971691436659595,100.0,49.7644250825897,-,13620.0,12487.8,15066.60530071135,14760.0,0.81,🧠Memory 🔥Past 💧Dry+,5,False,0,-701310490.0,-42187580.0,10.0,12.0,,0,2026-01-19 08:19,2
64,092870,엑시콘,KOSDAQ,210248339670,기타,16110.0,24.0,10.0,5.0,4,10.0,53.0,15540.0,3.5381750465549344,30.508474576271187,35.30763039184636,-,15765.0,15379.8,17007.69228274742,16010.0,0.51,🧠Memory 🔥Past,0,False,0,-2154819750.0,1244659740.0,10.0,5.0,,0,2026-01-19 08:19,2
65,079940,가비아,KOSDAQ,417383272400,기타,31100.0,20.0,0.0,12.0,11,10.0,53.0,29900.0,3.858520900321544,67.79661016949153,41.46221668725705,-,31947.5,30786.0,35102.034158722185,25450.0,0.5,🔥Past 💧Dry+,7,False,5,112226200.0,-22378950.0,0.0,12.0,,0,2026-01-19 08:19,2
66,448900,한국피아이엠,KOSDAQ,498970376700,기타,83100.0,24.0,10.0,5.0,5,9.0,53.0,76452.0,8.0,10.169491525423728,30.64781265097289,R,58885.0,52419.0,78707.62365498331,38250.0,0.92,🧘Squeeze 🔥Past,0,True,2,4045858000.0,-1229040500.0,10.0,5.0,,0,2026-01-19 08:19,2
67,104830,원익머트리얼즈,KOSDAQ,410390400000,기타,32550.0,25.0,10.0,5.0,3,10.0,53.0,31550.0,3.0721966205837172,16.949152542372882,46.03487465474899,-,32360.0,31896.0,35091.76377443766,34350.0,0.6,🧘Squeeze 🔥Past,0,False,0,176357550.0,-1021427950.0,10.0,5.0,,0,2026-01-19 08:19,2
68,001940,KISCO홀딩스,KOSPI,374256432000,기타,26400.0,19.0,20.0,0.0,4,9.0,52.0,24750.0,6.25,20.338983050847457,21.201978897434664,-,25645.0,26021.0,27152.434571234156,26400.0,1.04,🚪Door 🧠Memory,1,False,0,-192125750.0,1265187400.0,20.0,0.0,,0,2026-01-19 08:19,2
69,114190,강원에너지,KOSDAQ,365983762380,기타,14010.0,16.0,10.0,12.0,5,9.0,52.0,13010.0,7.137758743754461,8.474576271186441,31.257401273038887,-,13601.0,15018.0,18344.747795464955,16350.0,0.98,🧘Squeeze 🔥Past 💧Dry+,6,False,2,42244030.0,-19620310.0,10.0,12.0,,0,2026-01-19 08:19,2
70,114840,아이패밀리에스씨,KOSDAQ,264994470000,기타,15300.0,13.0,20.0,10.0,0,9.0,52.0,14450.0,5.555555555555555,0.0,26.376872731524145,-,14506.5,14936.4,18165.000381493228,14940.0,1.55,🧘Squeeze 🧠Memory 🔥Past 🚀Pivot,2,False,0,-165492280.0,-413217790.0,20.0,10.0,,0,2026-01-19 08:19,2
71,361390,제노코,KOSDAQ,213859172700,기타,24300.0,23.0,10.0,5.0,4,9.0,51.0,22356.0,8.0,100.0,64.77639414333628,R,20757.5,17213.0,23792.346956576657,22950.0,0.52,🚪Door 🔥Past,1,True,0,-734554100.0,393446200.0,10.0,5.0,,0,2026-01-19 08:19,2
72,003800,에이스침대,KOSDAQ,343235500000,기타,30950.0,15.0,10.0,10.0,6,10.0,51.0,29600.0,4.361873990306947,62.71186440677966,17.97755916603888,-,31022.5,30529.0,33189.58586520722,31800.0,0.36,🧠Memory 🔥Past 💧Dry,4,False,1,-143427500.0,450.0,10.0,10.0,,0,2026-01-19 08:19,2
73,368770,파이버프로,KOSDAQ,434989939000,기타,13240.0,25.0,10.0,5.0,2,9.0,51.0,12400.0,6.3444108761329305,93.22033898305085,60.34185675015807,-,12461.5,9136.8,14817.287197330654,13560.0,0.84,🧠Memory 🔥Past,1,False,1,-2839362430.0,-2468426280.0,10.0,5.0,,0,2026-01-19 08:19,2
74,104700,한국철강,KOSPI,367416000000,기타,10080.0,17.0,20.0,0.0,4,10.0,51.0,9680.0,3.968253968253968,20.338983050847457,19.601427773730133,-,9948.5,9985.6,10261.42624337119,9710.0,1.09,🚪Door 🧠Memory,1,False,0,-477200810.0,1863214940.0,20.0,0.0,,0,2026-01-19 08:19,2
75,199820,제일일렉트릭,KOSDAQ,223755400000,기타,10070.0,20.0,10.0,12.0,0,9.0,51.0,9340.0,7.249255213505462,71.1864406779661,51.972861501279915,-,9451.0,9491.4,11183.04670487086,9750.0,0.72,🧠Memory 🔥Past 💧Dry+,6,False,0,-121523190.0,-5242250.0,10.0,12.0,,0,2026-01-19 08:19,2
76,092230,KPX홀딩스,KOSPI,300794795200,기타,71200.0,15.0,10.0,13.0,3,9.0,50.0,65504.0,8.0,62.71186440677966,50.74968479853764,B,72715.0,72648.0,78135.83590433588,71700.0,2.28,🧠Memory 🔥Past 🚀Pivot+,1,False,0,56534900.0,-159127400.0,10.0,13.0,,0,2026-01-19 08:19,2
77,389500,에스비비테크,KOSDAQ,431338862400,기타,68100.0,24.0,0.0,13.0,4,9.0,50.0,62652.0,8.0,100.0,30.9672642584417,R,44217.5,36506.0,54307.11821018747,34600.0,2.79,🔥Past 🚀Pivot+,1,True,0,-9399394400.0,2067339100.0,0.0,13.0,,0,2026-01-19 08:19,2
78,134380,미원화학,KOSPI,216627898000,기타,98500.0,20.0,10.0,10.0,0,10.0,50.0,94100.0,4.467005076142132,100.0,13.46959411832611,-,95240.0,91544.0,99202.4886442967,85000.0,0.37,🚪Door 🔥Past 💧Dry,3,False,0,-190600.0,-121701300.0,10.0,10.0,,0,2026-01-19 08:19,2
79,322180,LS티라유텍,KOSDAQ,210265939200,기타,10050.0,25.0,10.0,10.0,0,5.0,50.0,8700.0,13.432835820895523,98.30508474576271,60.15748973334222,R,8815.5,7716.0,10048.884652675279,8410.0,1.95,🚪Door 🔥Past 🚀Pivot,0,True,0,-1004471490.0,-3568781900.0,10.0,10.0,,0,2026-01-19 08:19,2
80,015360,INVENI,KOSPI,376200000000,기타,66000.0,15.0,10.0,10.0,4,10.0,49.0,64100.0,2.878787878787879,66.10169491525424,18.78002258615013,-,66570.0,65488.0,70107.05874673904,67500.0,0.26,🧠Memory 🔥Past 💧Dry,4,False,0,-3499102900.0,42233600.0,10.0,10.0,,0,2026-01-19 08:19,2
81,007160,사조산업,KOSPI,277000000000,기타,55400.0,20.0,0.0,15.0,5,9.0,49.0,52200.0,5.776173285198556,64.40677966101696,55.176609437698225,-,55820.0,54010.0,61196.411047346926,59000.0,1.75,🔥Past 💧Dry 🚀Pivot,3,False,1,3246500.0,-1192900.0,0.0,15.0,,0,2026-01-19 08:19,2
82,140670,알에스오토메이션,KOSDAQ,280550504000,기타,21850.0,25.0,0.0,10.0,5,9.0,49.0,20102.0,8.0,100.0,53.13083984495678,R,17546.0,14930.4,19489.17052735751,17650.0,1.69,🔥Past 🚀Pivot,0,True,1,4562553730.0,-864099000.0,0.0,10.0,,0,2026-01-19 08:19,2
83,450950,아스테라시스,KOSDAQ,489092479680,기타,13040.0,15.0,10.0,10.0,4,9.0,48.0,12230.0,6.211656441717792,10.169491525423728,25.90114463517492,-,12721.5,13418.0,16230.674104523383,16100.0,0.65,🧘Squeeze 🔥Past 💧Dry,3,False,0,-1091905090.0,5790630.0,10.0,10.0,,0,2026-01-19 08:19,2
84,036560,KZ정밀,KOSDAQ,221287500000,기타,14050.0,15.0,10.0,13.0,0,10.0,48.0,13850.0,1.4234875444839856,11.864406779661017,44.22663677825947,-,14847.0,14741.0,15823.350993671404,15370.0,2.15,🧘Squeeze 🔥Past 🚀Pivot+,1,False,0,-32595760.0,-510180.0,10.0,13.0,,0,2026-01-19 08:19,2
85,344820,KCC글라스,KOSPI,426412670400,기타,26700.0,14.0,20.0,0.0,5,9.0,48.0,25000.0,6.367041198501873,25.423728813559322,38.67669062252666,-,26155.0,26590.0,27765.859774826436,27450.0,0.78,🚪Door 🧠Memory,0,False,1,366421250.0,-1413375250.0,20.0,0.0,,0,2026-01-19 08:19,2
86,065660,안트로젠,KOSDAQ,375228750000,기타,37500.0,20.0,10.0,5.0,3,10.0,48.0,36450.0,2.8000000000000003,86.44067796610169,48.75204728257437,-,43812.5,33937.0,52198.281705498215,36200.0,0.54,🧠Memory 🔥Past,1,False,0,1748598100.0,-1307946150.0,10.0,5.0,,0,2026-01-19 08:19,2
87,025000,KPX케미칼,KOSPI,201858484900,기타,46100.0,12.0,10.0,10.0,5,10.0,47.0,45000.0,2.386117136659436,91.52542372881356,83.43086970742615,-,46945.0,48025.54,51334.798275191955,47919.0,1.21,🧠Memory 🔥Past 🚀Pivot,1,False,1,50912900.0,-238272400.0,10.0,10.0,,0,2026-01-19 08:19,2
88,130660,한전산업,KOSPI,381420000000,기타,11700.0,14.0,10.0,13.0,5,5.0,47.0,10150.0,13.247863247863249,81.35593220338983,31.966776160653865,-,10766.0,11133.4,12700.5053803385,11550.0,2.14,🧠Memory 🔥Past 🚀Pivot+,0,False,1,2004824720.0,-198423320.0,10.0,13.0,,0,2026-01-19 08:19,2
89,029530,신도리코,KOSPI,466705342700,기타,46300.0,15.0,10.0,10.0,2,10.0,47.0,45600.0,1.511879049676026,64.40677966101696,65.01037547742723,-,48182.5,47835.0,52878.77800324724,44300.0,0.89,🧠Memory 🔥Past 💧Dry,4,False,1,-94956850.0,-150666850.0,10.0,10.0,,0,2026-01-19 08:19,2
90,190510,나무가,KOSDAQ,357453317650,기타,25450.0,25.0,10.0,5.0,0,7.0,47.0,23350.0,8.25147347740668,100.0,57.98470560198405,R,21925.0,18541.8,25024.72362717407,22250.0,0.49,🚪Door 🔥Past,1,True,0,-2885192350.0,-187048850.0,10.0,5.0,,0,2026-01-19 08:19,2
91,016610,DB증권,KOSPI,477946340140,기타,11260.0,19.0,10.0,5.0,2,10.0,46.0,11080.0,1.5985790408525755,57.6271186440678,30.452407382127024,-,11270.5,10735.0,11858.989920119147,10750.0,0.81,🧠Memory 🔥Past,0,False,1,-453293520.0,-276691110.0,10.0,5.0,,0,2026-01-19 08:19,2
92,051370,인터플렉스,KOSDAQ,247037928480,기타,10590.0,22.0,10.0,5.0,4,5.0,46.0,9520.0,10.103871576959396,59.32203389830509,50.84797219662645,-,10358.5,10395.2,11810.365474245204,11080.0,1.0,🧠Memory 🔥Past,0,False,0,-279812000.0,20661290.0,10.0,5.0,,0,2026-01-19 08:19,2
93,005710,대원산업,KOSDAQ,260288424000,기타,12990.0,11.0,10.0,15.0,0,10.0,46.0,12350.0,4.926866820631255,54.23728813559322,33.60339388152527,-,13539.0,13594.8,15567.352760357115,13180.0,1.36,🧠Memory 🔥Past 💧Dry 🚀Pivot,4,False,0,-862982270.0,-432723820.0,10.0,15.0,,0,2026-01-19 08:19,2
94,122640,예스티,KOSDAQ,364868440890,기타,17090.0,10.0,20.0,5.0,0,10.0,45.0,17000.0,0.5266237565827969,0.0,19.42281831533802,-,17906.0,17647.4,19787.54639645896,17970.0,0.82,🧘Squeeze 🧠Memory 🔥Past,0,False,0,-2044824650.0,-992230540.0,20.0,5.0,,0,2026-01-19 08:19,2
95,049070,인탑스,KOSDAQ,375820000000,기타,21850.0,25.0,0.0,13.0,2,5.0,45.0,19380.0,11.304347826086957,100.0,54.42538149427252,R,18503.5,16311.6,20658.47711155459,19820.0,2.01,🔥Past 🚀Pivot+,0,True,1,-1863159140.0,-1502785950.0,0.0,13.0,,0,2026-01-19 08:19,2
96,403550,쏘카,KOSPI,402970137540,기타,12270.0,13.0,20.0,5.0,2,5.0,45.0,10810.0,11.898940505297473,25.423728813559322,15.527744136171156,R,11733.0,11631.0,12046.186482475936,11740.0,1.95,🚪Door 🧠Memory 🚀Pivot,1,True,2,-2435260.0,-20892240.0,20.0,5.0,,0,2026-01-19 08:19,2
97,041920,메디아나,KOSDAQ,244938596910,기타,13170.0,25.0,10.0,5.0,0,5.0,45.0,11230.0,14.730447987851178,100.0,50.71546185528639,-,11113.0,8304.0,13717.436478469448,7880.0,0.62,🚪Door 🔥Past,1,False,0,-1581289770.0,-258150880.0,10.0,5.0,,0,2026-01-19 08:19,2
98,039440,에스티아이,KOSDAQ,465211410000,기타,30000.0,19.0,10.0,5.0,0,10.0,44.0,29400.0,2.0,84.7457627118644,32.30763690371686,-,31140.0,27969.0,34365.32610263412,28800.0,0.45,🧠Memory 🔥Past,2,False,0,-1098982350.0,-6842855700.0,10.0,5.0,,0,2026-01-19 08:19,2
99,456010,아이씨티케이,KOSDAQ,216590885320,기타,15580.0,19.0,10.0,5.0,0,9.0,43.0,14680.0,5.7766367137355585,1.694915254237288,32.837081175678215,-,15834.5,15424.8,18785.671772905804,17550.0,0.72,🧘Squeeze 🔥Past,0,False,0,-2134581450.0,-1614376610.0,10.0,5.0,,0,2026-01-19 08:19,2
100,017860,DS단석,KOSPI,324428711400,기타,18450.0,8.0,20.0,5.0,0,9.0,42.0,17180.0,6.8834688346883475,13.559322033898304,25.78652795079227,-,18388.35,18881.02,21186.794155262116,19260.0,0.86,🧘Squeeze 🧠Memory 🔥Past,0,False,0,-111947420.0,-59953930.0,20.0,5.0,,0,2026-01-19 08:19,2
