rank,code,name,market,mktcap,sector,close,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,stop,risk_pct,bbw_pct,adx,setup,ma20,ma60,bb_upper,door_knock,squeeze,memory_near,trigger_score,liq_score,foreign_consec_buy,foreign_net_5d,inst_net_5d,scan_date,chunk,keywords,news_count
1,007690,국도화학,KOSPI,322276953600,기타,34800.0,20.0,30.0,15.0,15,5.0,85.0,31300.0,10.057471264367816,5.882352941176471,21.618101921485728,R,33142.5,32437.0,34975.59302466398,True,True,True,30.0,15.0,5,449638700.0,599676100.0,2026-01-19 12:45,2,,0
2,035510,신세계 I&C,KOSPI,238374345000,기타,17050.0,20.0,30.0,20.0,9,5.0,84.0,15310.0,10.205278592375366,6.722689075630252,29.632747181694832,R,16504.5,16602.2,17802.707335420804,True,True,True,30.0,20.0,2,1565248260.0,497567500.0,2026-01-19 12:45,2,,0
3,000490,대동,KOSPI,291727873800,기타,10120.0,18.0,30.0,13.0,12,7.0,80.0,9200.0,9.090909090909092,3.361344537815126,18.919530431455797,R,9670.5,9571.2,10145.872995952595,True,True,True,30.0,13.0,3,973407030.0,25676880.0,2026-01-19 12:45,2,,0
4,338840,와이바이오로직스,KOSDAQ,413602707250,기타,27250.0,20.0,30.0,12.0,5,9.0,76.0,25070.0,8.0,14.285714285714286,16.168218185455046,R,24575.0,24452.0,28356.64668212607,True,True,True,30.0,12.0,2,4766622050.0,-2085749700.0,2026-01-19 12:45,2,,0
5,199430,케이엔알시스템,KOSDAQ,355236788900,기타,32300.0,22.0,20.0,20.0,5,9.0,76.0,29716.0,8.0,8.403361344537815,22.00826936109841,A,26932.5,25938.0,32417.45462030109,True,True,False,20.0,20.0,1,2464230500.0,-30200.0,2026-01-19 12:45,2,,0
6,210980,SK디앤디,KOSPI,237185446680,기타,12740.0,20.0,30.0,12.0,4,10.0,76.0,12570.0,1.3343799058084773,8.403361344537815,50.855424639652234,R,12834.0,12727.2,13071.032949733873,True,True,True,30.0,12.0,0,-328870750.0,492602690.0,2026-01-19 12:45,2,,0
7,474170,루미르,KOSDAQ,217197714240,기타,12190.0,25.0,20.0,12.0,7,9.0,73.0,11214.800000000001,8.0,100.0,81.06122145309928,A,10742.0,9125.2,12354.03975364997,True,False,True,20.0,12.0,0,1464344720.0,368127700.0,2026-01-19 12:45,2,,0
8,282880,코윈테크,KOSDAQ,207939678100,기타,18130.0,22.0,20.0,12.0,9,9.0,72.0,16679.600000000002,8.0,50.42016806722689,22.6967401416229,A,16112.75,15663.04,17943.581238479142,True,False,True,20.0,12.0,2,1638545680.0,15460600.0,2026-01-19 12:45,2,,0
9,211270,AP위성,KOSDAQ,227591967360,기타,15090.0,23.0,20.0,12.0,9,7.0,71.0,13650.0,9.542743538767395,100.0,65.77057308686082,A,13693.0,12275.4,14985.04787344433,True,False,True,20.0,12.0,1,1823673770.0,970845190.0,2026-01-19 12:45,2,,0
10,451760,컨텍,KOSDAQ,217496314960,기타,14260.0,25.0,20.0,12.0,9,5.0,71.0,12540.0,12.0617110799439,100.0,75.53969341614665,A,12527.0,9903.4,14232.857152799319,True,False,True,20.0,12.0,1,23913820.0,2641435720.0,2026-01-19 12:45,2,,0
11,053610,프로텍,KOSDAQ,401500000000,기타,36500.0,23.0,20.0,12.0,6,9.0,70.0,34250.0,6.164383561643835,25.210084033613445,28.56095431431885,A,34932.5,34277.0,37381.12143480529,True,False,True,20.0,12.0,1,-638111600.0,334254600.0,2026-01-19 12:45,2,,0
12,244920,에이플러스에셋,KOSPI,248232469140,기타,10980.0,23.0,10.0,12.0,15,9.0,69.0,10101.6,8.0,100.0,25.530159501254825,B,9609.5,8582.2,11117.270039585632,True,False,False,10.0,12.0,5,6111463780.0,620386000.0,2026-01-19 12:45,2,,0
13,001940,KISCO홀딩스,KOSPI,374256432000,기타,26400.0,19.0,30.0,5.0,6,9.0,69.0,24750.0,6.25,10.084033613445378,21.201978897434664,R,25645.0,26021.0,27152.434571234156,True,True,True,30.0,5.0,1,-155238700.0,1274964000.0,2026-01-19 12:45,2,,0
14,007860,서연,KOSPI,258278284000,기타,11000.0,25.0,10.0,18.0,7,9.0,69.0,10120.0,8.0,43.69747899159664,51.78254641040032,B,9790.5,9649.0,10422.388703752968,False,False,True,10.0,18.0,0,392049020.0,378816460.0,2026-01-19 12:45,2,,0
15,230360,에코마케팅,KOSDAQ,493500227360,기타,15920.0,25.0,20.0,10.0,4,10.0,69.0,15890.0,0.18844221105527637,75.63025210084034,65.20881163332213,A,13912.5,12176.4,15838.899306831181,True,False,True,20.0,10.0,0,-7097774670.0,11882530500.0,2026-01-19 12:45,2,,0
16,170920,엘티씨,KOSDAQ,235051803500,기타,22250.0,25.0,20.0,10.0,4,9.0,68.0,20750.0,6.741573033707865,56.30252100840336,62.309233815248454,A,20656.0,18628.8,23317.996806968145,True,False,True,20.0,10.0,0,-5424633950.0,1417798050.0,2026-01-19 12:45,2,,0
17,058430,포스코스틸리온,KOSPI,248100000000,기타,41350.0,21.0,20.0,13.0,9,5.0,68.0,35850.0,13.301088270858525,42.016806722689076,29.40633614216299,A,38882.5,38481.0,40811.97286674578,True,False,True,20.0,13.0,2,1039640050.0,277843200.0,2026-01-19 12:45,2,,0
18,014830,유니드,KOSPI,474408760000,기타,70100.0,15.0,30.0,5.0,9,9.0,68.0,64600.0,7.845934379457916,3.361344537815126,23.67442574886158,R,68475.0,67252.0,72513.53921806441,True,True,True,30.0,5.0,1,333611200.0,708433500.0,2026-01-19 12:45,2,,0
19,003920,남양유업,KOSPI,306600000000,기타,51100.0,10.0,20.0,17.0,11,10.0,68.0,49050.0,4.011741682974559,0.0,18.88803172787117,A,50485.0,50697.0,53900.32978414219,False,True,True,20.0,17.0,5,286304300.0,-144811500.0,2026-01-19 12:45,2,,0
20,080160,모두투어,KOSDAQ,201096000000,기타,10640.0,10.0,30.0,10.0,8,9.0,67.0,9820.0,7.7067669172932325,0.0,17.127249107418738,R,10223.5,10366.8,11172.494725718014,True,True,True,30.0,10.0,4,741096670.0,-344028350.0,2026-01-19 12:45,2,,0
21,126700,하이비젼시스템,KOSDAQ,244154110080,기타,16340.0,20.0,20.0,5.0,12,9.0,66.0,15110.0,7.527539779681762,41.1764705882353,14.695626421827054,A,15928.5,15618.0,16613.142056944638,True,False,True,20.0,5.0,4,1482368660.0,181923680.0,2026-01-19 12:45,2,,0
22,371950,풍원정밀,KOSDAQ,288720861520,기타,12740.0,23.0,10.0,15.0,9,9.0,66.0,11720.800000000001,8.0,100.0,54.157743353724115,B,10635.5,9970.6,12037.628335996294,False,False,True,10.0,15.0,1,587282550.0,1000294140.0,2026-01-19 12:45,2,,0
23,034950,한국기업평가,KOSDAQ,441792012200,기타,97300.0,12.0,30.0,12.0,2,10.0,66.0,96000.0,1.3360739979445015,5.882352941176471,49.551922652591365,R,98435.0,98918.0,100869.85945690754,True,True,True,30.0,12.0,2,-89370600.0,-329341700.0,2026-01-19 12:45,2,,0
24,200710,에이디테크놀로지,KOSDAQ,457659989100,기타,34050.0,24.0,20.0,12.0,4,5.0,65.0,30250.0,11.16005873715125,78.15126050420169,35.04117976199466,A,31407.5,28042.0,35251.634685207086,True,False,True,20.0,12.0,0,-13624396600.0,29317450.0,2026-01-19 12:45,2,,0
25,110990,디아이티,KOSDAQ,338310000000,기타,17900.0,25.0,20.0,5.0,6,9.0,65.0,16870.0,5.754189944134079,63.865546218487395,48.56855178050157,A,16384.5,15263.8,18039.63737015173,True,False,True,20.0,5.0,1,-595196190.0,1187265920.0,2026-01-19 12:45,2,,0
26,032940,원익,KOSDAQ,265621158000,기타,14600.0,25.0,10.0,12.0,8,9.0,64.0,13432.0,8.0,98.31932773109244,69.75600854410895,B,11227.5,8916.2,13830.43442666336,False,False,True,10.0,12.0,3,1669095880.0,-104732590.0,2026-01-19 12:45,2,,0
27,475400,씨메스,KOSDAQ,442322823600,기타,37800.0,20.0,10.0,17.0,8,9.0,64.0,34776.0,8.0,39.49579831932773,17.59250703611107,B,34032.5,32779.0,38449.34416002784,True,False,False,10.0,17.0,4,8981186600.0,-67867850.0,2026-01-19 12:45,2,,0
28,054450,텔레칩스,KOSDAQ,243064939650,기타,16050.0,25.0,10.0,17.0,5,7.0,64.0,14500.0,9.657320872274143,100.0,53.31630570649509,B,14910.0,13434.0,16306.590422406334,True,False,False,10.0,17.0,1,1542357760.0,-342225360.0,2026-01-19 12:45,2,,0
29,037460,삼지전자,KOSDAQ,274640725260,기타,16830.0,25.0,20.0,5.0,5,9.0,64.0,15720.0,6.59536541889483,100.0,61.044858135016334,A,15570.0,14141.2,16838.384350006083,True,False,True,20.0,5.0,2,86479520.0,-592113690.0,2026-01-19 12:45,2,,0
30,094820,일진파워,KOSDAQ,204316506950,기타,13550.0,24.0,20.0,12.0,3,5.0,64.0,11920.0,12.029520295202952,98.31932773109244,31.430042009157507,A,13004.0,11723.0,13937.867606929325,True,False,True,20.0,12.0,0,307295590.0,-43216310.0,2026-01-19 12:45,2,,0
31,104700,한국철강,KOSPI,367416000000,기타,10080.0,17.0,30.0,0.0,6,10.0,63.0,9680.0,3.968253968253968,10.084033613445378,19.601427773730133,R,9948.5,9985.6,10261.42624337119,True,True,True,30.0,0.0,1,-415654540.0,1586335670.0,2026-01-19 12:45,2,,0
32,171090,선익시스템,KOSDAQ,489549004800,기타,51200.0,24.0,10.0,18.0,6,5.0,63.0,44650.0,12.79296875,46.21848739495798,30.262755031099495,B,50897.5,50769.0,58211.78940056281,False,False,True,10.0,18.0,1,-1074143050.0,2896650050.0,2026-01-19 12:45,2,,0
33,290740,액트로,KOSDAQ,211868481550,기타,21050.0,25.0,10.0,15.0,4,9.0,63.0,19366.0,8.0,100.0,51.604717882219504,B,17522.5,10988.6,21557.726850558465,True,False,False,10.0,15.0,0,-3372410050.0,3882782800.0,2026-01-19 12:45,2,,0
34,274090,켄코아에어로스페이스,KOSDAQ,276882071600,기타,20950.0,25.0,10.0,12.0,8,7.0,62.0,19150.0,8.591885441527445,100.0,76.53564016562073,B,18691.0,13698.2,21718.527693509335,True,False,False,10.0,12.0,3,1410983120.0,-2546481030.0,2026-01-19 12:45,2,,0
35,033530,SJG세종,KOSPI,317437165010,기타,11410.0,23.0,10.0,15.0,5,9.0,62.0,10497.2,8.0,25.210084033613445,27.13315447987381,B,10161.0,9389.0,11139.141327440539,False,False,True,10.0,15.0,1,2616672660.0,-98800060.0,2026-01-19 12:45,2,,0
36,389500,에스비비테크,KOSDAQ,431338862400,기타,68100.0,24.0,0.0,20.0,9,9.0,62.0,62652.0,8.0,100.0,30.9672642584417,-,44217.5,36506.0,54307.11821018747,False,False,False,0.0,20.0,1,1701628200.0,4428497600.0,2026-01-19 12:45,2,,0
37,005430,한국공항,KOSPI,209929336500,기타,66300.0,20.0,20.0,10.0,2,9.0,61.0,61100.0,7.8431372549019605,9.243697478991596,14.66942994062194,A,64485.0,61718.0,66925.7319326216,True,True,False,20.0,10.0,1,-929730000.0,-270131200.0,2026-01-19 12:45,2,,0
38,045100,한양이엔지,KOSDAQ,423000000000,기타,23500.0,25.0,10.0,10.0,6,10.0,61.0,22700.0,3.404255319148936,100.0,43.688472787388015,B,22835.0,21630.0,24226.52098209201,True,False,False,10.0,10.0,2,-797981000.0,97690350.0,2026-01-19 12:45,2,,0
39,036560,KZ정밀,KOSDAQ,221287500000,기타,14050.0,15.0,10.0,20.0,6,10.0,61.0,13850.0,1.4234875444839856,9.243697478991596,44.22663677825947,B,14847.0,14741.0,15823.350993671404,False,True,False,10.0,20.0,1,-43979600.0,14110.0,2026-01-19 12:45,2,,0
40,254490,미래반도체,KOSDAQ,232163040000,기타,16080.0,23.0,10.0,12.0,5,10.0,60.0,15610.0,2.9228855721393034,41.1764705882353,58.34661776147457,B,15872.0,15584.8,17982.7975314921,False,False,True,10.0,12.0,1,13605360.0,-143783590.0,2026-01-19 12:45,2,,0
41,037710,광주신세계,KOSPI,247468609000,기타,31100.0,15.0,20.0,7.0,8,10.0,60.0,30400.0,2.2508038585209005,35.294117647058826,57.74761506026292,A,31405.0,31221.0,32360.62511488377,True,False,True,20.0,7.0,4,399674300.0,-143634650.0,2026-01-19 12:45,2,,0
42,092230,KPX홀딩스,KOSPI,300794795200,기타,71200.0,15.0,10.0,20.0,5,10.0,60.0,70200.0,1.4044943820224718,73.94957983193277,50.74968479853764,B,72715.0,72648.0,78135.83590433588,False,False,True,10.0,20.0,1,174867600.0,-155340700.0,2026-01-19 12:45,2,,0
43,042370,비츠로테크,KOSDAQ,281126268250,기타,10730.0,24.0,10.0,17.0,0,9.0,60.0,9871.6,8.0,100.0,37.618312892897116,B,9536.0,8904.6,10342.590857969659,False,False,True,10.0,17.0,0,-3035359290.0,-168292440.0,2026-01-19 12:45,2,,0
44,092870,엑시콘,KOSDAQ,210248339670,기타,16110.0,24.0,10.0,10.0,6,10.0,60.0,15540.0,3.5381750465549344,36.97478991596638,35.30763039184636,B,15765.0,15379.8,17007.69228274742,False,False,True,10.0,10.0,1,-930303520.0,1083859770.0,2026-01-19 12:45,2,,0
45,054210,이랜텍,KOSDAQ,257970342000,기타,10200.0,19.0,10.0,13.0,8,9.0,59.0,9384.0,8.0,7.563025210084033,22.100883958243873,B,8739.5,8953.6,9891.36504423562,False,True,False,10.0,13.0,4,3965202290.0,-5338650.0,2026-01-19 12:46,2,,0
46,102120,어보브반도체,KOSDAQ,210346307990,기타,11830.0,25.0,10.0,12.0,2,10.0,59.0,11490.0,2.8740490278951816,44.53781512605042,51.830457700517805,B,11706.0,11374.2,13192.95745212417,False,False,True,10.0,12.0,1,-120784920.0,-1585830.0,2026-01-19 12:45,2,,0
47,115310,인포바인,KOSDAQ,220308927000,기타,69000.0,19.0,10.0,15.0,9,5.0,58.0,59200.0,14.202898550724639,19.327731092436974,23.462969996310626,B,64180.0,68708.0,77049.2880417581,False,True,False,10.0,15.0,1,56109300.0,2394500.0,2026-01-19 12:46,2,,0
48,344820,KCC글라스,KOSPI,426412670400,기타,26700.0,14.0,30.0,0.0,5,9.0,58.0,25000.0,6.367041198501873,12.605042016806722,38.67669062252666,R,26155.0,26590.0,27765.859774826436,True,True,True,30.0,0.0,2,256386450.0,-1279258150.0,2026-01-19 12:45,2,,0
49,006110,삼아알미늄,KOSPI,353085984000,기타,24000.0,12.0,20.0,12.0,5,9.0,58.0,22500.0,6.25,0.0,15.530678567812371,A,23957.5,24189.0,26964.10211943113,False,True,True,20.0,12.0,1,421212200.0,-63414500.0,2026-01-19 12:45,2,,0
