rank,code,name,market,mktcap,sector,close,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,stop,risk_pct,bbw_pct,adx,setup,ma20,ma60,bb_upper,door_knock,squeeze,memory_near,trigger_score,liq_score,foreign_consec_buy,foreign_net_5d,inst_net_5d,scan_date,chunk,keywords,news_count
50,253590,네오셈,KOSDAQ,489141178600,기타,11150.0,25.0,10.0,10.0,4,9.0,58.0,10590.0,5.0224215246636765,42.016806722689076,48.229206147258374,B,10764.5,10576.8,12710.548483315764,False,False,True,10.0,10.0,0,-1112688100.0,220994280.0,2026-01-19 12:45,2,,0
51,060720,KH바텍,KOSDAQ,340955164800,기타,14400.0,23.0,10.0,13.0,2,9.0,57.0,13248.0,8.0,82.3529411764706,27.341787048894027,B,12129.0,11878.0,13967.910193349155,False,False,True,10.0,13.0,1,-3527072410.0,-632154240.0,2026-01-19 12:45,2,,0
52,286940,롯데이노베이트,KOSPI,338897820800,기타,22400.0,23.0,10.0,8.0,7,9.0,57.0,20608.0,8.0,46.21848739495798,44.55629704370089,B,20076.0,19856.8,21474.742783245583,False,False,True,10.0,8.0,0,121335600.0,341783850.0,2026-01-19 12:46,2,,0
53,322310,오로스테크놀로지,KOSDAQ,236036858400,기타,25200.0,25.0,10.0,10.0,5,7.0,57.0,23000.0,8.73015873015873,31.932773109243698,41.701150291148,B,24677.5,24040.0,27758.936472246,False,False,True,10.0,10.0,1,568953100.0,-1275984100.0,2026-01-19 12:45,2,,0
54,114840,아이패밀리에스씨,KOSDAQ,264994470000,기타,15300.0,13.0,20.0,10.0,5,9.0,57.0,14450.0,5.555555555555555,19.327731092436974,26.376872731524145,A,14506.5,14936.4,18165.000381493228,False,True,True,20.0,10.0,1,274023320.0,-362512790.0,2026-01-19 12:45,2,,0
55,394280,오픈엣지테크놀로지,KOSDAQ,311701851270,기타,14130.0,23.0,10.0,12.0,2,9.0,56.0,13000.0,7.9971691436659595,100.0,49.7644250825897,B,13620.0,12487.8,15066.60530071135,False,False,True,10.0,12.0,1,-608212590.0,-69866990.0,2026-01-19 12:45,2,,0
56,028100,동아지질,KOSPI,227755429020,기타,17010.0,15.0,10.0,12.0,9,10.0,56.0,16350.0,3.880070546737213,96.63865546218487,9.308986329296884,B,17042.5,16442.8,18460.73136659974,False,False,True,10.0,12.0,2,234077550.0,1005258350.0,2026-01-19 12:46,2,,0
57,199820,제일일렉트릭,KOSDAQ,223755400000,기타,10070.0,20.0,10.0,12.0,5,9.0,56.0,9340.0,7.249255213505462,35.294117647058826,51.972861501279915,B,9451.0,9491.4,11183.04670487086,False,False,True,10.0,12.0,1,23273060.0,-7865390.0,2026-01-19 12:46,2,,0
58,462350,이노스페이스,KOSDAQ,435103711900,기타,21100.0,25.0,10.0,12.0,0,9.0,56.0,19412.0,8.0,100.0,88.56045106874356,B,16755.0,13283.86,20788.21842093837,True,False,False,10.0,12.0,0,-8058615750.0,-10169773350.0,2026-01-19 12:45,2,,0
59,190510,나무가,KOSDAQ,357453317650,기타,25450.0,25.0,10.0,12.0,2,7.0,56.0,23350.0,8.25147347740668,100.0,57.98470560198405,B,21925.0,18541.8,25024.72362717407,True,False,False,10.0,12.0,1,-1963398700.0,-191956300.0,2026-01-19 12:45,2,,0
60,114190,강원에너지,KOSDAQ,365983762380,기타,14010.0,16.0,10.0,12.0,8,9.0,55.0,13010.0,7.137758743754461,16.80672268907563,31.257401273038887,B,13601.0,15018.0,18344.747795464955,False,True,False,10.0,12.0,3,97040600.0,-19648830.0,2026-01-19 12:46,2,,0
61,095500,미래나노텍,KOSDAQ,330256489350,기타,10650.0,15.0,10.0,12.0,9,9.0,55.0,10100.0,5.164319248826291,0.8403361344537815,27.318245353800904,B,10566.0,11542.4,13498.695443637649,False,True,False,10.0,12.0,1,133835850.0,31310090.0,2026-01-19 12:46,2,,0
62,322180,LS티라유텍,KOSDAQ,210265939200,기타,10050.0,25.0,10.0,10.0,5,5.0,55.0,8700.0,13.432835820895523,99.15966386554622,60.15748973334222,B,8815.5,7716.0,10048.884652675279,True,False,False,10.0,10.0,1,1859589210.0,-4135901850.0,2026-01-19 12:46,2,,0
63,051370,인터플렉스,KOSDAQ,247037928480,기타,10590.0,22.0,10.0,12.0,6,5.0,55.0,9520.0,10.103871576959396,79.83193277310924,50.84797219662645,B,10358.5,10395.2,11810.365474245204,False,False,True,10.0,12.0,1,-266547220.0,5666840.0,2026-01-19 12:46,2,,0
64,140670,알에스오토메이션,KOSDAQ,280550504000,기타,21850.0,25.0,0.0,15.0,5,9.0,54.0,20102.0,8.0,100.0,53.13083984495678,-,17546.0,14930.4,19489.17052735751,False,False,False,0.0,15.0,2,1551745280.0,-1059721800.0,2026-01-19 12:46,2,,0
65,029460,케이씨,KOSPI,371136927150,기타,28050.0,25.0,10.0,5.0,4,10.0,54.0,26900.0,4.09982174688057,31.932773109243698,50.61877659965062,B,27060.0,25995.0,28586.284659382334,True,False,False,10.0,5.0,0,-1900020300.0,2619675000.0,2026-01-19 12:46,2,,0
66,012200,계양전기,KOSPI,303806771640,기타,11160.0,23.0,10.0,12.0,0,9.0,54.0,10267.2,7.999999999999993,95.7983193277311,28.831401529374027,B,8086.5,4102.7,11102.816909128063,True,False,False,10.0,12.0,0,-1464185600.0,-2718620.0,2026-01-19 12:45,2,,0
67,270660,에브리봇,KOSDAQ,315086741400,기타,24900.0,25.0,0.0,17.0,3,9.0,54.0,22908.0,8.0,65.54621848739495,42.34635471613519,-,21526.0,20150.2,23402.666177394793,False,False,False,0.0,17.0,0,5506051350.0,-4484998750.0,2026-01-19 12:46,2,,0
68,382900,범한퓨얼셀,KOSDAQ,283418350000,기타,32350.0,21.0,0.0,17.0,6,9.0,53.0,29762.0,8.0,36.97478991596638,37.41642952119683,-,28445.0,29563.0,36019.820239107125,False,False,False,0.0,17.0,1,-288633550.0,190565400.0,2026-01-19 12:46,2,,0
69,003800,에이스침대,KOSDAQ,343235500000,기타,30950.0,15.0,10.0,12.0,6,10.0,53.0,29600.0,4.361873990306947,68.90756302521008,17.97755916603888,B,31022.5,30529.0,33189.58586520722,False,False,True,10.0,12.0,2,-5682550.0,30850.0,2026-01-19 12:46,2,,0
70,004310,현대약품,KOSPI,433600000000,기타,13550.0,25.0,0.0,12.0,7,9.0,53.0,12466.0,8.0,100.0,52.31647830550144,-,8645.5,6140.7,10756.040915050937,False,False,False,0.0,12.0,0,8590653680.0,1881670.0,2026-01-19 12:46,2,,0
71,232680,라온테크,KOSDAQ,204308014200,기타,16300.0,25.0,0.0,15.0,4,9.0,53.0,14996.0,8.0,100.0,77.0847941370154,-,13355.5,10222.0,15607.863052679477,False,False,False,0.0,15.0,0,-171512520.0,84987640.0,2026-01-19 12:46,2,,0
72,039440,에스티아이,KOSDAQ,465211410000,기타,30000.0,19.0,10.0,12.0,2,10.0,53.0,29400.0,2.0,92.43697478991596,32.30763690371686,B,31140.0,27969.0,34365.32610263412,False,False,True,10.0,12.0,1,-209534300.0,-6902671500.0,2026-01-19 12:46,2,,0
73,011500,한농화성,KOSPI,281310385580,기타,17990.0,19.0,10.0,15.0,0,9.0,53.0,16550.8,8.0,58.8235294117647,20.276607165698717,B,15332.5,15473.6,17073.25506869007,False,False,True,10.0,15.0,0,-35759380.0,-3217690.0,2026-01-19 12:45,2,,0
74,065660,안트로젠,KOSDAQ,375228750000,기타,37500.0,20.0,10.0,10.0,3,10.0,53.0,36450.0,2.8000000000000003,93.27731092436974,48.75204728257437,B,43812.5,33937.0,52198.281705498215,False,False,True,10.0,10.0,0,1561160850.0,-629367650.0,2026-01-19 12:46,2,,0
75,041920,메디아나,KOSDAQ,244938596910,기타,13170.0,25.0,10.0,12.0,0,5.0,52.0,11230.0,14.730447987851178,100.0,50.71546185528639,B,11113.0,8304.0,13717.436478469448,True,False,False,10.0,12.0,0,-5697564680.0,-958952350.0,2026-01-19 12:45,2,,0
76,134380,미원화학,KOSPI,216627898000,기타,98500.0,20.0,10.0,12.0,0,10.0,52.0,94100.0,4.467005076142132,100.0,13.46959411832611,B,95240.0,91544.0,99202.4886442967,True,False,False,10.0,12.0,0,0.0,-131560900.0,2026-01-19 12:45,2,,0
77,484810,티엑스알로보틱스,KOSDAQ,305310080400,기타,19760.0,22.0,0.0,17.0,4,9.0,52.0,18179.2,8.0,21.008403361344538,39.42146384893281,-,16528.0,15485.6,18585.34762766786,False,False,False,0.0,17.0,0,-1681021470.0,178023230.0,2026-01-19 12:46,2,,0
78,122640,예스티,KOSDAQ,364868440890,기타,17090.0,10.0,20.0,12.0,0,10.0,52.0,17000.0,0.5266237565827969,10.92436974789916,19.42281831533802,A,17906.0,17647.4,19787.54639645896,False,True,True,20.0,12.0,0,-1800967280.0,-666414800.0,2026-01-19 12:46,2,,0
79,183190,아세아시멘트,KOSPI,435746364400,기타,11800.0,7.0,20.0,12.0,2,10.0,51.0,11470.0,2.7966101694915255,11.764705882352942,34.25576407610785,A,12103.0,12096.2,12862.087151011447,False,True,True,20.0,12.0,1,-702233240.0,-177306760.0,2026-01-19 12:46,2,,0
80,079960,동양이엔피,KOSDAQ,230298000000,기타,29300.0,23.0,0.0,15.0,4,9.0,51.0,26956.0,8.0,94.11764705882354,25.241089579755048,-,26020.0,24750.0,28048.210750250953,False,False,False,0.0,15.0,0,-302819850.0,29841750.0,2026-01-19 12:46,2,,0
81,092460,한라IMS,KOSDAQ,290180172800,기타,16960.0,15.0,10.0,12.0,4,10.0,51.0,16210.0,4.422169811320755,8.403361344537815,16.294793240824713,B,17262.0,16710.8,19203.892265781906,False,True,False,10.0,12.0,0,-1222135410.0,161181360.0,2026-01-19 12:46,2,,0
82,015360,INVENI,KOSPI,376200000000,기타,66000.0,15.0,10.0,12.0,4,10.0,51.0,64100.0,2.878787878787879,47.89915966386555,18.78002258615013,B,66570.0,65488.0,70107.05874673904,False,False,True,10.0,12.0,0,-3360222700.0,54594800.0,2026-01-19 12:46,2,,0
83,002230,피에스텍,KOSDAQ,310886716600,기타,16130.0,25.0,0.0,13.0,4,9.0,51.0,14839.6,8.0,100.0,71.52730253869446,-,9946.5,6721.3,12338.532087296946,False,False,False,0.0,13.0,0,-567054780.0,148066450.0,2026-01-19 12:46,2,,0
84,080580,오킨스전자,KOSDAQ,211296912720,기타,10470.0,25.0,0.0,12.0,3,10.0,50.0,9960.0,4.871060171919771,40.33613445378151,43.59522680764444,-,10385.0,9594.6,11382.23600868348,False,False,False,0.0,12.0,0,1742331800.0,-578543820.0,2026-01-19 12:46,2,,0
85,456010,아이씨티케이,KOSDAQ,216590885320,기타,15580.0,19.0,10.0,10.0,2,9.0,50.0,14680.0,5.7766367137355585,0.8403361344537815,32.837081175678215,B,15834.5,15424.8,18785.671772905804,False,True,False,10.0,10.0,1,-122589250.0,-1626536230.0,2026-01-19 12:46,2,,0
86,005710,대원산업,KOSDAQ,260288424000,기타,12990.0,11.0,10.0,17.0,2,10.0,50.0,12350.0,4.926866820631255,61.34453781512605,33.60339388152527,B,13539.0,13594.8,15567.352760357115,False,False,True,10.0,17.0,1,-769687840.0,-573148080.0,2026-01-19 12:46,2,,0
87,104830,원익머트리얼즈,KOSDAQ,410390400000,기타,32550.0,25.0,0.0,10.0,5,10.0,50.0,31550.0,3.0721966205837172,21.84873949579832,46.03487465474899,-,32360.0,31896.0,35091.76377443766,False,False,False,0.0,10.0,1,475916850.0,-1333680100.0,2026-01-19 12:46,2,,0
88,000320,노루홀딩스,KOSPI,264626816410,기타,19910.0,5.0,20.0,10.0,5,10.0,50.0,19230.0,3.415369161225515,10.084033613445378,57.027450827683026,A,21034.5,21981.8,24820.320396664,False,True,True,20.0,10.0,1,862212050.0,-1905112940.0,2026-01-19 12:46,2,,0
89,200880,서연이화,KOSPI,451374897900,기타,16700.0,22.0,10.0,8.0,0,9.0,49.0,15364.0,8.0,100.0,23.794781891866705,B,13437.5,12835.2,14551.067305157714,False,False,True,10.0,8.0,0,-7367791000.0,-258668300.0,2026-01-19 12:46,2,,0
90,049070,인탑스,KOSDAQ,375820000000,기타,21850.0,25.0,0.0,13.0,2,9.0,49.0,20102.0,8.0,100.0,54.42538149427252,-,18503.5,16311.6,20658.47711155459,False,False,False,0.0,13.0,2,-3634207130.0,-545673750.0,2026-01-19 12:46,2,,0
91,018310,삼목에스폼,KOSDAQ,281799000000,기타,19170.0,5.0,20.0,12.0,2,10.0,49.0,18340.0,4.329681794470527,1.680672268907563,65.98581372362052,A,19507.0,19922.8,20963.835270029027,False,True,True,20.0,12.0,1,-22949780.0,-27075040.0,2026-01-19 12:46,2,,0
92,016610,DB증권,KOSPI,477946340140,기타,11260.0,19.0,10.0,10.0,0,10.0,49.0,11080.0,1.5985790408525755,32.773109243697476,30.452407382127024,B,11270.5,10735.0,11858.989920119147,False,False,True,10.0,10.0,0,-495341990.0,-236571730.0,2026-01-19 12:46,2,,0
93,368770,파이버프로,KOSDAQ,434989939000,기타,13240.0,25.0,10.0,5.0,0,9.0,49.0,12400.0,6.3444108761329305,96.63865546218487,60.34185675015807,B,12461.5,9136.8,14817.287197330654,False,False,True,10.0,5.0,0,-2891787840.0,-3174866740.0,2026-01-19 12:46,2,,0
94,000860,강남제비스코,KOSPI,221130000000,기타,17010.0,25.0,0.0,12.0,2,9.0,48.0,15649.2,8.0,100.0,67.06899116409494,-,14056.0,13003.4,15276.848141491046,False,False,False,0.0,12.0,1,-786606410.0,-3695090.0,2026-01-19 12:46,2,,0
95,452430,사피엔반도체,KOSDAQ,254759426000,기타,31000.0,14.0,10.0,10.0,4,10.0,48.0,30100.0,2.903225806451613,80.67226890756302,32.01325120920098,B,34620.0,31974.0,38596.8013475224,False,False,True,10.0,10.0,0,-1017300250.0,253217700.0,2026-01-19 12:46,2,,0
96,464080,에스오에스랩,KOSDAQ,374627586750,기타,21050.0,25.0,0.0,10.0,4,9.0,48.0,19366.0,8.0,100.0,82.18027275654681,-,16403.0,12723.8,19552.884035837316,False,False,False,0.0,10.0,0,-2561778500.0,1065449550.0,2026-01-19 12:46,2,,0
97,029530,신도리코,KOSPI,466705342700,기타,46300.0,15.0,10.0,12.0,0,10.0,47.0,45600.0,1.511879049676026,45.378151260504204,65.01037547742723,B,48182.5,47835.0,52878.77800324724,False,False,True,10.0,12.0,0,-92625050.0,-276760650.0,2026-01-19 12:46,2,,0
98,007160,사조산업,KOSPI,277000000000,기타,55400.0,20.0,0.0,17.0,0,9.0,46.0,52200.0,5.776173285198556,44.53781512605042,55.176609437698225,-,55820.0,54010.0,61196.411047346926,False,False,False,0.0,17.0,0,-18379200.0,-39586500.0,2026-01-19 12:46,2,,0
99,241770,메카로,KOSDAQ,236978880000,기타,23250.0,16.0,10.0,10.0,0,9.0,45.0,21950.0,5.591397849462366,35.294117647058826,31.140998340251677,B,23100.0,23261.0,27675.609912327862,False,False,True,10.0,10.0,0,-150597350.0,-15742650.0,2026-01-19 12:46,2,,0
100,043370,피에이치에이,KOSDAQ,270270000000,기타,12870.0,25.0,0.0,15.0,0,5.0,45.0,10990.0,14.607614607614607,74.78991596638656,56.32391817682436,-,11681.5,11540.4,12409.59234761839,False,False,False,0.0,15.0,0,-931068720.0,-14511972840.0,2026-01-19 12:46,2,,0
